자치구,교육지원청,학교급,학교명,학교_주소,위도,경도,대표_전화번호,홈페이지_URL,학교_학생수,학교_교원1인당학생수,교육복지우선지원여부_UI,위클래스_있음,전문상담교사_수,보건교사_수,진로상담실_있음,방과후교과프로그램수,방과후특기적성프로그램수
강동구,강동송파교육지원청,고등학교,상일여자고등학교,서울특별시 강동구 천호대로219길 61(상일동. 189),37.5485874781342,127.170823536325,02  -428 -0435,http://sangil.hs.kr,834,11.9,미해당,있음,1,1,있음,2.0,0.0
노원구,북부교육지원청,고등학교,염광고등학교,서울특별시 노원구 월계로45가길 9. 염광고등학교 (월계동),37.6302844506448,127.049264552091,02  -994 -0121,http://yumkwang.hs.kr,668,11.1,해당,있음,1,1,있음,5.0,0.0
노원구,북부교육지원청,고등학교,영신여자고등학교,서울특별시 노원구 중계로16나길 13. 영신여자고등학교 (중계동),37.6525485061054,127.08350874514,02  -930 -8455,http://www.ys.hs.kr,663,9.0,미해당,없음,0,1,있음,0.0,15.0
성동구,성동광진교육지원청,고등학교,한양대학교사범대학부속고등학교,서울특별시 성동구 마조로 42한양대학교사범대학부속고등학교 (사근동),37.5619188387132,127.042324044658,02  -2200-3507,http://www.hanyang-u.hs.kr/,966,12.4,미해당,있음,1,1,있음,4.0,0.0
종로구,중부교육지원청,고등학교,서울국제고등학교,서울특별시 종로구 성균관로13길 40. 서울국제고 (명륜1가),37.5917911485864,126.995490680124,02  -743 -9385,http://sghs.sen.hs.kr,419,6.3,미해당,있음,1,1,있음,8.0,3.0
용산구,중부교육지원청,고등학교,용산철도고등학교,서울특별시 용산구 서빙고로 24(한강로3가. 용산철도고등학교),37.5243416742733,126.967358069696,02  -6905-7812,https://yongsan-th.sen.hs.kr,411,5.8,미해당,있음,1,2,있음,21.0,1.0
노원구,북부교육지원청,고등학교,광운인공지능고등학교,서울특별시 노원구 광운로1길 24(월계동.광운중학교/광운인공지능고등학교),37.6192431974844,127.056540751938,02  -918 -7761,http://kwangwoon.sen.hs.kr,432,5.5,미해당,있음,2,1,있음,3.0,5.0
강동구,강동송파교육지원청,고등학교,상일미디어고등학교,서울특별시 강동구 천호대로219길 61. 상일미디어고등학교 (상일동),37.5485874781342,127.170823536325,02  -428 -0733,http://sangilmedia.sen.hs.kr,487,7.0,해당,있음,1,1,있음,2.0,13.0
노원구,북부교육지원청,고등학교,인덕과학기술고등학교,서울특별시 노원구 초안산로 12. 인덕과학기술고등학교 (월계동),37.6302514486494,127.054448642206,02  -902 -2060,http://www.induk.sen.hs.kr,483,6.2,해당,있음,1,1,있음,3.0,1.0
도봉구,북부교육지원청,고등학교,서울문화고등학교,서울특별시 도봉구 마들로 598. 서울문화고등학교 (방학동),37.6641314270343,127.047285814495,02  -955 -9100,http://seoulculture.sen.hs.kr,307,5.6,해당,있음,1,1,있음,6.0,0.0
노원구,북부교육지원청,고등학교,영신간호비즈니스고등학교,서울특별시 노원구 중계로16나길 13영신간호비즈니스고등학교 (중계동),37.6525485061054,127.08350874514,02  -930 -8453,http://www.youngshin.hs.kr,384,7.0,해당,없음,0,1,있음,15.0,0.0
양천구,강서양천교육지원청,고등학교,서울영상고등학교,서울특별시 양천구 목동로11길 46. 서울영상고등학교 (신정동),37.5232817223805,126.860283046403,02  -2602-7121,http://youngsang.sen.hs.kr,347,8.5,미해당,있음,1,1,있음,6.0,8.0
관악구,동작관악교육지원청,고등학교,영락의료과학고등학교,서울특별시 관악구 청룡16길 25. 영락의료과학고등학교,37.476541242971,126.945416499639,02  -884 -1882,http://youngnak-c.hs.kr,294,6.1,해당,없음,0,1,있음,13.0,6.0
관악구,동작관악교육지원청,고등학교,서울관광고등학교,서울특별시 관악구 은천로15길 25(봉천동.서울관광고등학교),37.4878154195732,126.943760849751,02  -886 -9165,http://seoul-tour.sen.hs.kr,444,8.1,해당,있음,1,1,있음,5.0,0.0
